Nome,Proporção (g),Calorias (kcal),Carboidratos (g),Proteínas (g),Gordura (g),Ingredientes
omelete de espinafre,150,164,5.0,10.0,11.0,"ovos, espinafre fresco, sal, pimenta a gosto, queijo (opcional)"
panqueca de aveia e banana com chocolate,52,104,15.8,4.4,2.8,"aveia sem glúten, banana, ovos, leite, fermento em pó, chocolate (pedaços ou gotas)"
iogurte de granola e mel,150,125,18.0,3.9,4.1,"iogurte natural, granola, mel"
açaí com morango congelado,60,60,10.0,0.0,1.8,"açaí, morangos congelados"
tapioca recheada com carne moida e queijo,236,312,52.6,14.4,5.6,"farinha de tapioca, carne moída, queijo, temperos a gosto"
muffin de frango e legumes,40,163,13.8,11.8,5.9,"peito de frango cozido e desfiado, legumes variados (cenoura, brócolis, etc., ovos, leite, farinha de arroz, fermento em pó, sal e pimenta a gosto"
"tapioca doce com banana, mel e amendoim",150,426,73.0,7.0,12.0,"farinha de tapioca, banana, mel, amendoim"
pão de queijo de mandioca,22,53,10.1,0.1,1.1,"Mandioca, polvilho azedo, queijo, leite, ovos, sal"
panqueca de batata doce,30,116,28.0,0.0,0.0,"batata doce cozida e amassada, ovos, leite, farinha de arroz, fermento em pó, canela (opcional)"
bolo sem gluten de laranja e chia,60,257,42.0,2.4,9.2,"Farinha sem glúten, laranjas (suco e raspas da casca), ovos, açúcar, óleo vegetal, chia, fermento em pó"
bolo sem gluten de abacaxi com nozes,40,127,11.0,2.5,8.3,"Farinha sem glúten, abacaxi picado, nozes picadas, ovos, açúcar, óleo vegetal, fermento em pó "
bolo sem gluten de aveia com gotas de chocolate,60,201,29.0,2.7,8.3,"Aveia, gotas de chocolate, ovos, açúcar, óleo vegetal, fermento em pó"
omelete com mussarela e peito de frango,75,139,1.3,12.6,9.1,"ovos, mussarela, peito de frango cozido e desfiado, sal e pimenta a gosto"
omelete com creme de ricota,150,115,2.0,9.0,0,"ovos, creme de ricota, sal e pimenta a gosto"
omelete de carne de sol,200,334,11.0,36.7,19.9,"ovos, carne de sol desfiada, cebola e tomate (opcional), sal e pimenta a gosto"
pão de milho com queijo,55,67,10.0,3.0,3.0,"Farinha de milho, queijo, ovos, leite, fermento em pó, sal"
pão de melado recheado,480,1759,220.7,19.1,90.3,"Farinha sem glúten, melado, ovos, leite, fermento em pó, especiarias a gosto (canela, cravo, noz-moscada)"
pão de batata doce com frango,90,123,21.8,7.9,0.5,"Farinha de batata doce, frango cozido e desfiado, ovos, leite, fermento em pó, sal e temperos a gosto"
pão de batata doce com calabresa e cream cheese,150,235,3.8,21.0,10.0,"Farinha de batata doce, calabresa sem glúten, cream cheese sem glúten, ovos, leite sem glúten, fermento em pó sem glúten, sal e temperos a gosto"
pão de queijo com batata doce e chia,40,97,14.6,1.0,3.8,"Polvilho azedo, batata doce, queijo, chia, leite, ovos, sal"
tapioca com queijo branco,100,181,29.1,6.0,6.0,"farinha de tapioca, queijo branco"
tapioca com peito de peru e queijo,93,223,38.2,5.3,5.8,"farinha de tapioca, peito de peru, queijo"
